sha256,family,priority,gap_state,gap_types,blockers,case_path,report_available,static_layer_report_available,recovered_child_layer_count,selected_family,reported_case_status,root_byte_evidence,private_case_archive_key_observed,private_terminal_child_sha256,terminal_recovery_assessment,next_safe_step
a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9,purehvnc,P0,explicit_unrecovered,container_or_resource_boundary;protector_or_virtualization_boundary;terminal_config_unrecovered;terminal_payload_unrecovered,human_documented_terminal_gap;terminal_protector_resource_backed_method_body_restoration_blocks_config_and_c2,analysis-results/malware/purehvnc/versions/unknown/cases/a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9,true,true,0,purehvnc,partial,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
4972c57c77b67c080fca0e1f97e650894f7b60fb50d049ae9f43d83759fad701,valleyrat,P0,explicit_unrecovered,terminal_payload_unrecovered,terminal_family_not_confirmed,analysis-results/malware/valleyrat/versions/unknown/cases/4972c57c77b67c080fca0e1f97e650894f7b60fb50d049ae9f43d83759fad701,true,true,1,valleyrat,complete,verified_local_root_bytes,true,,unresolved,復元済みOnyx shellcodeを非実行で解析し、終端ファミリーと後続層を検証する。
6546aad603716ebbe02412440e8d8d8e5fd7af80f212c6fe45e50a76f093c6d1,valleyrat,P0,source_material_absent,required_bytes_absent,required_terminal_bytes_absent,analysis-results/malware/valleyrat/versions/unknown/cases/6546aad603716ebbe02412440e8d8d8e5fd7af80f212c6fe45e50a76f093c6d1,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,不足する終端byteの取得可能性を認証済み保管物・完全SHA一致の公開成果物から確認する。rootだけで終端復元済みとしない。
81f68f61a8f7cf1accca338fd196051020bf60885aad409332091b759ff818d9,valleyrat,P0,curated_recovery_backlog,protector_or_virtualization_boundary,native_control_flow_obfuscation;opaque_predicates;overlapping_instructions;rdtsc;stack_state_manipulation,analysis-results/malware/valleyrat/versions/unknown/cases/81f68f61a8f7cf1accca338fd196051020bf60885aad409332091b759ff818d9,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
ad4a584f5e622c10703bca28c58ee8372899edb48cc1ccf28a2cff87d1afbf2d,valleyrat,P0,explicit_unrecovered,protector_or_virtualization_boundary;terminal_config_unrecovered;terminal_payload_unrecovered,human_documented_terminal_gap;native_control_flow_obfuscation;opaque_predicates;overlapping_instructions;rdtsc;stack_state_manipulation;terminal_payload_not_recovered,analysis-results/malware/valleyrat/versions/unknown/cases/ad4a584f5e622c10703bca28c58ee8372899edb48cc1ccf28a2cff87d1afbf2d,true,true,0,valleyrat,partial,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
fc397bf8ddae5d01a16beb2076261b2a708b7cb3e8fea0898e56127a757153de,valleyrat,P0,curated_recovery_backlog,protector_or_virtualization_boundary,native_control_flow_obfuscation;opaque_predicates;overlapping_instructions;rdtsc;stack_state_manipulation,analysis-results/malware/valleyrat/versions/unknown/cases/fc397bf8ddae5d01a16beb2076261b2a708b7cb3e8fea0898e56127a757153de,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
3187d3e3b16a56070801701cb040843b67ee52f3a601be142267fd0ea0d91e3b,venomrat,P0,source_material_absent,required_bytes_absent;terminal_config_unrecovered,human_documented_terminal_gap;required_terminal_bytes_absent,analysis-results/malware/venomrat/versions/unknown/cases/3187d3e3b16a56070801701cb040843b67ee52f3a601be142267fd0ea0d91e3b,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,不足する終端byteの取得可能性を認証済み保管物・完全SHA一致の公開成果物から確認する。rootだけで終端復元済みとしない。
6d25076b0cf8d493bd252bcfdee87c9ec9e23ddb814cfc671e3e80d31e2bf6f8,venomrat,P0,source_material_absent,required_bytes_absent,required_terminal_bytes_absent,analysis-results/malware/venomrat/versions/unknown/cases/6d25076b0cf8d493bd252bcfdee87c9ec9e23ddb814cfc671e3e80d31e2bf6f8,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,不足する終端byteの取得可能性を認証済み保管物・完全SHA一致の公開成果物から確認する。rootだけで終端復元済みとしない。
3610fcc54a204281b09095004f02b674cd75bdd83996a1428fdef85645eff3e1,asyncrat,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/asyncrat/versions/unknown/cases/3610fcc54a204281b09095004f02b674cd75bdd83996a1428fdef85645eff3e1,true,true,0,,partial,verified_local_archive_member,false,,unresolved,認証済みrootから上限付き静的層復元を再実行し、保護層の停止位置・子hash・設定抽出結果を記録する。
5e84fd9106777b85d5a60f4e607940730ba57ea2dcafaeaaadd6f21e38555761,asyncrat,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/asyncrat/versions/unknown/cases/5e84fd9106777b85d5a60f4e607940730ba57ea2dcafaeaaadd6f21e38555761,true,true,0,,triaged_unknown,private_case_archive_key_only,true,,unresolved,case別保管物を権限付き環境で復元し、manifestとmemberのSHA-256を照合してから静的解析する。
f6f7dbd6561e7ee6ba7e6abffdb1e5de01bf511318aade34825d888e99db645f,asyncrat,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/asyncrat/versions/unknown/cases/f6f7dbd6561e7ee6ba7e6abffdb1e5de01bf511318aade34825d888e99db645f,true,true,0,,triaged_unknown,verified_local_root_bytes,false,8e07ec3b2017e3be75d8d3d56a847f705ac6389427471ed52481cef870351600,private_terminal_recovered_public_case_unsynchronized,既存の私有終端byte・親子hash・HMAC検証済み設定を公開caseへ証拠付きで照合し、矛盾解消後に再sealする。
03f46cf9a2de612f87385012e18af57a87e1d227f1fe2b0e8f6f335073104964,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/03f46cf9a2de612f87385012e18af57a87e1d227f1fe2b0e8f6f335073104964,true,true,0,,partial,local_archive_name_only,true,,unresolved,ローカル暗号化ZIPのmember SHA-256を検証した後、非実行の静的層復元へ進む。
17b4070f7739accf08ec200d8fe71a65f407afbca9f3f576f42397519f694d2d,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/17b4070f7739accf08ec200d8fe71a65f407afbca9f3f576f42397519f694d2d,true,true,0,,partial,local_archive_name_only,true,,unresolved,ローカル暗号化ZIPのmember SHA-256を検証した後、非実行の静的層復元へ進む。
20cdcfc958897b318418dce7c7f6308e3481731f09fac0772d0fd27d4e66e528,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/20cdcfc958897b318418dce7c7f6308e3481731f09fac0772d0fd27d4e66e528,true,true,0,,triaged_unknown,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
4b5ed2db4d4c48782e6926d8569f314f6aa36d8d6ec7100eaf1f561bd7626ff9,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/4b5ed2db4d4c48782e6926d8569f314f6aa36d8d6ec7100eaf1f561bd7626ff9,true,true,0,,partial,local_archive_name_only,true,,unresolved,ローカル暗号化ZIPのmember SHA-256を検証した後、非実行の静的層復元へ進む。
7906d425e122ae7f4922dbeff8c261be021a921c5f13471a470c60c583280504,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/7906d425e122ae7f4922dbeff8c261be021a921c5f13471a470c60c583280504,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
87843d4d75d858a1802d545a80afbdf986d5aa3a30588c5094864f55d1ca8f53,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/87843d4d75d858a1802d545a80afbdf986d5aa3a30588c5094864f55d1ca8f53,true,true,0,,partial,local_archive_name_only,true,,unresolved,ローカル暗号化ZIPのmember SHA-256を検証した後、非実行の静的層復元へ進む。
9344ddd2906925b386bad207e1fb416739a5657a7103feed770d6d6b8d042556,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/9344ddd2906925b386bad207e1fb416739a5657a7103feed770d6d6b8d042556,false,false,0,,,not_confirmed_in_searched_indexes,false,,unresolved,元byteまたは完全SHA一致の公開後段成果物を探索し、入手できるまで終端未復元を維持する。
b59fe70e499dfd4f13fd545ec1892a10dd8a913ebc41190d69ecca2f4135c02f,formbook,P1,explicit_unrecovered,terminal_payload_unrecovered,human_documented_terminal_gap,analysis-results/malware/formbook/versions/unknown/cases/b59fe70e499dfd4f13fd545ec1892a10dd8a913ebc41190d69ecca2f4135c02f,true,true,0,,partial,local_archive_name_only,true,,unresolved,ローカル暗号化ZIPのmember SHA-256を検証した後、非実行の静的層復元へ進む。
